customer_id,customer_name,currency_id,currency_code,current,days_1-15,days_16-30,days_31-45,days_above-45,total,fcy_total,contact.CF.SALESMAN,contact.CF.ROUTE,contact.CF.ROUTE DAY
4035182000000238726,"Rupesh A/m , Chandragiri ( Yamaha Showroom)",4035182000000000099,INR,0.00,12938.00,0.00,0.00,0.00,12938.00,12938.00,NETHAJI,CHANDRAGIRI,SATURDAY
4035182000000199384,"S A   BISMILLA   TYRES  , V.KOTA",4035182000000000099,INR,0.00,0.00,0.00,0.00,6909.00,6909.00,6909.00,CHIRANJEEVI,V KOTA,SATURDAY
4035182000000182261,"S J Auto Mobiles , Ramakuppam",4035182000000000099,INR,0.00,14891.00,11371.00,0.00,0.00,26262.00,26262.00,CHIRANJEEVI,RAMAKUPPAM,SATURDAY
4035182000000182349,"S Jayaprakash Automobiles,Damalcheruvu",4035182000000000099,INR,0.00,0.00,4.00,0.00,0.00,4.00,4.00,NETHAJI,DAMALACHERUVU,TUESDAY
4035182000000196618,S K Auto mobiles Vkota,4035182000000000099,INR,0.00,0.00,0.00,34724.00,0.00,34724.00,34724.00,CHIRANJEEVI,V KOTA,SATURDAY
4035182000000182432,"S V C  Cycles Shop,  Pakala",4035182000000000099,INR,0.00,0.00,0.00,1353.00,0.00,1353.00,1353.00,NETHAJI,PAKALA,TUESDAY
4035182000000199716,"S.B.S CYCLE STORE , BANGARUPALEM",4035182000000000099,INR,0.00,0.00,0.00,7775.00,0.00,7775.00,7775.00,CHIRANJEEVI,BANGARUPALEM,MONDAY
4035182000010300346,"S.K AUTOMOBILS ,THAMBALLPALLE",4035182000000000099,INR,0.00,873.00,0.00,0.00,0.00,873.00,873.00,RAJESH,THAMBALLPALLE,TUESDAY
4035182000000182515,"S.M.S Cycle Shop,TPT (Giddangi Street)",4035182000000000099,INR,0.00,1726.00,0.00,2.00,0.00,1728.00,1728.00,NETHAJI,TIRUPATI,FRIDAY
4035182000000182686,S.S Automobiles Palamaner,4035182000000000099,INR,0.00,64860.00,0.00,0.00,9563.00,74423.00,74423.00,CHIRANJEEVI,PALAMANER,MONDAY
